"Manufacturer Part Number","Manufacturer","Digi-Key Part Number","Customer Reference","Quantity"
"0430300002","Molex, LLC","WM1125CT-ND","","36"
"43025-0200","Molex, LLC","WM1783-ND","","18"
"0430450228","Molex, LLC","WM10659-ND","J1-J18","18"
